Zip_Code,Population,White,Black,Native_American,Asian,Hawaiian_Pacific_Islander,Other,Latino,Mixed_Race
90066,59747,27924,2313,143,8369,82,240,18077,5198
90067,2235,1563,17,0,540,30,25,30,60
90068,21726,16146,680,0,1534,9,67,2315,1950
90069,20401,14601,697,19,1495,38,127,2484,1880
90071,0,0,0,0,0,0,0,0,0
90073,944,331,313,0,76,0,12,175,74
90077,8936,6963,247,0,825,0,22,599,560
90079,0,0,0,0,0,0,0,0,0
90089,3846,1729,236,0,1228,26,36,434,314
90090,0,0,0,0,0,0,0,0,0
90094,8568,4207,944,0,2222,0,0,910,570
90095,0,0,0,0,0,0,0,0,0
90201,102878,3665,776,131,829,111,23,97090,506
90210,20016,16546,188,9,1680,0,116,804,1346
90211,8019,5987,170,0,939,0,0,698,450
90212,13207,10099,174,14,1351,0,27,871,1342
90220,51713,1492,18971,2,453,203,125,30166,602
90221,54259,543,11014,31,447,0,0,41826,796
90222,32585,324,8827,154,135,217,31,22791,212
90230,32657,12556,2487,22,5507,86,343,10391,2530
90232,14865,7109,911,1,2258,0,0,3889,1394
90240,26339,4198,722,15,1775,0,51,19422,312
90241,44097,6214,899,51,2900,24,125,33429,910
90242,42922,5229,2287,37,3405,489,94,31086,590
90245,16929,10943,283,24,1530,20,62,3024,2086
90247,47969,3325,8605,62,11740,39,170,23192,1672
90248,10899,1110,1577,21,3495,43,44,4475,268
90249,26286,3563,7341,38,3824,683,227,9702,1816
90250,97371,10175,21032,112,7214,684,459,53463,8464
90254,19750,15625,236,198,1191,0,88,1781,1262
90255,75636,1139,514,56,458,143,65,73173,176
90260,35614,6078,3265,38,3996,392,175,20710,1920
90262,71306,1585,5717,204,646,240,46,62744,248
90263,1868,747,103,5,547,0,10,351,210
90265,18119,14355,359,51,880,7,5,1665,1594
90266,35698,26678,165,62,3771,0,218,3054,3500
90270,27597,410,132,12,50,0,18,26963,24
90272,22927,18989,106,20,1258,2,22,1275,2510
90274,25374,15715,281,23,6017,10,65,2288,1950
90275,42606,22544,829,17,12181,294,69,4541,4262
90277,34922,24812,720,74,3120,11,144,4763,2556
90278,40808,23040,1359,102,5776,32,408,7451,5280
90280,95420,3033,575,36,555,129,25,90884,366
90290,5714,4952,45,24,243,0,46,253,302
90291,27170,18660,1505,44,902,15,86,5216,1484
90292,22328,15986,1648,0,1910,97,396,1665,1252
90293,12762,8016,639,16,1585,0,86,1716,1408
90301,37518,1312,11309,144,533,29,171,23413,1214
90302,30892,1821,13837,27,439,35,127,14015,1182
90303,24658,595,8357,16,294,0,48,14864,968
90304,25937,575,843,7,702,0,93,23695,44
90305,15574,398,11898,0,154,45,24,2729,652
90401,7485,4992,504,10,681,0,0,1011,574
90402,11681,9307,122,0,950,0,55,852,790
90403,24764,18453,512,32,2272,45,61,2421,1936
90404,22586,10685,1758,14,2724,27,78,6361,1878
90405,28305,18503,951,29,2601,0,134,4471,3232
90501,43008,9480,2696,143,10615,277,231,18171,2790
90502,18010,2650,1344,33,6132,45,20,7299,974
90503,45349,18291,935,108,18268,384,138,4972,4506
90504,33422,8966,1121,117,12795,86,134,8331,3744
90505,37368,17019,688,54,13043,96,98,4713,3314
90506,0,0,0,0,0,0,0,0,0
90601,34025,6372,387,132,2153,0,132,24622,454
90602,26482,4358,376,50,998,32,251,20259,316
90603,20697,7948,229,0,948,32,51,11122,734
90604,41369,9510,239,114,2220,27,290,28336,1266
90605,41818,6424,344,99,1914,0,425,32225,774
90606,32599,2741,290,322,654,24,19,28439,220
90620,46038,13991,866,55,13470,381,73,15831,2742
90621,36074,6358,1713,146,10338,264,0,16862,786
90623,15882,4168,833,83,7376,129,11,2753,1058
90630,49249,19407,1947,179,16071,187,156,9802,3000
90631,69579,19962,708,154,8750,28,120,38998,1718
90638,49797,16584,1058,144,9467,47,62,20824,3222
90640,63547,4646,767,152,8107,44,0,49359,944
90650,106404,11457,4077,428,14195,231,217,74886,1826
90660,63694,3735,457,241,1902,50,67,57005,474
90670,16642,1619,663,63,845,0,205,13174,146
90680,30530,6132,367,161,8170,160,8,15143,778
90701,16912,3136,693,56,6101,27,26,6279,1188
90703,50877,7680,3612,120,30536,201,83,7037,3216
90704,3940,1214,15,10,2,1,0,2615,166
